,score,sex,address,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,activities,nursery,higher,freetime,goout,health,err_free
0,30.0,F,U,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,yes,yes,3.0,4.0,3.0,True
1,30.0,F,U,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,no,no,no,yes,3.0,3.0,3.0,True
2,50.0,F,U,1.0,1.0,at_home,other,other,mother,1.0,2.0,3.0,yes,no,yes,yes,3.0,2.0,3.0,True
4,50.0,F,U,3.0,3.0,other,other,home,father,1.0,2.0,0.0,no,no,yes,yes,3.0,2.0,5.0,True
5,75.0,M,U,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,4.0,2.0,5.0,True
7,30.0,F,U,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,yes,no,yes,yes,1.0,4.0,1.0,True
8,95.0,M,U,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,no,no,yes,yes,2.0,2.0,1.0,True
9,75.0,M,U,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,5.0,1.0,5.0,True
10,45.0,F,U,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,3.0,2.0,True
11,60.0,F,U,2.0,4.0,services,other,reputation,father,3.0,3.0,0.0,no,yes,yes,yes,2.0,2.0,4.0,True
12,70.0,M,U,4.0,4.0,health,services,course,father,1.0,1.0,0.0,no,yes,yes,yes,3.0,3.0,5.0,True
13,55.0,M,U,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,no,yes,yes,4.0,3.0,3.0,True
14,80.0,M,U,2.0,2.0,other,other,home,other,1.0,3.0,0.0,no,no,yes,yes,5.0,2.0,3.0,True
15,70.0,F,U,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,no,no,yes,yes,4.0,4.0,2.0,True
16,70.0,F,U,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,no,yes,yes,yes,2.0,3.0,2.0,True
18,25.0,M,U,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,no,yes,yes,yes,5.0,5.0,5.0,True
19,50.0,M,U,4.0,3.0,health,other,home,father,1.0,1.0,0.0,no,yes,yes,yes,1.0,3.0,5.0,True
20,75.0,M,U,4.0,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,4.0,1.0,1.0,True
23,60.0,M,U,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,yes,yes,yes,4.0,4.0,5.0,True
25,40.0,F,U,2.0,2.0,services,services,home,mother,1.0,1.0,2.0,no,no,no,yes,2.0,2.0,5.0,True
28,55.0,M,U,3.0,4.0,services,other,home,mother,1.0,2.0,0.0,yes,yes,yes,yes,3.0,3.0,5.0,True
36,90.0,M,U,4.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,no,yes,yes,yes,4.0,3.0,4.0,True
39,65.0,F,R,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,yes,yes,yes,yes,3.0,1.0,2.0,True
40,55.0,F,U,2.0,2.0,other,other,home,mother,2.0,2.0,1.0,no,yes,no,yes,3.0,3.0,3.0,True
45,30.0,F,U,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,yes,yes,yes,yes,2.0,2.0,5.0,True
50,65.0,F,U,2.0,2.0,services,services,course,mother,3.0,2.0,0.0,no,no,yes,yes,3.0,3.0,4.0,True
51,65.0,F,U,4.0,2.0,health,other,other,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,3.0,5.0,True
56,75.0,F,U,4.0,3.0,services,services,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,2.0,1.0,True
61,55.0,F,U,1.0,1.0,services,services,course,father,4.0,1.0,0.0,yes,yes,no,yes,5.0,5.0,5.0,True
62,45.0,F,U,1.0,2.0,other,services,reputation,father,1.0,2.0,0.0,yes,yes,yes,yes,4.0,3.0,1.0,True
64,50.0,F,U,4.0,3.0,services,services,reputation,father,1.0,2.0,0.0,yes,yes,yes,yes,4.0,4.0,2.0,True
65,75.0,F,U,4.0,3.0,teacher,services,course,mother,3.0,2.0,0.0,no,yes,yes,yes,4.0,3.0,1.0,True
66,60.0,M,U,4.0,4.0,other,services,reputation,mother,1.0,4.0,0.0,no,yes,no,yes,3.0,3.0,3.0,True
69,80.0,F,R,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,no,no,no,yes,4.0,2.0,3.0,True
71,50.0,M,U,4.0,2.0,other,other,course,mother,1.0,4.0,0.0,no,no,yes,yes,3.0,3.0,3.0,True
72,25.0,F,R,1.0,1.0,other,other,reputation,mother,1.0,2.0,2.0,yes,no,no,yes,3.0,4.0,5.0,True
78,50.0,M,U,2.0,1.0,other,other,home,mother,2.0,1.0,3.0,yes,yes,yes,no,5.0,1.0,3.0,True
80,60.0,M,U,2.0,3.0,other,services,course,father,1.0,1.0,0.0,yes,yes,no,yes,2.0,2.0,3.0,True
82,30.0,F,U,3.0,2.0,services,other,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,4.0,4.0,5.0,True
83,75.0,M,U,2.0,2.0,services,services,home,mother,2.0,2.0,0.0,no,yes,yes,yes,3.0,3.0,4.0,True
86,30.0,F,U,2.0,2.0,at_home,other,course,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,4.0,2.0,True
87,70.0,F,U,4.0,2.0,other,other,reputation,mother,1.0,3.0,0.0,no,yes,yes,yes,3.0,3.0,1.0,True
93,50.0,F,U,4.0,2.0,teacher,services,home,mother,2.0,2.0,0.0,no,yes,yes,yes,3.0,3.0,1.0,True
94,70.0,M,U,2.0,2.0,services,health,reputation,mother,1.0,4.0,0.0,no,yes,yes,yes,3.0,4.0,4.0,True
95,50.0,F,R,1.0,1.0,at_home,other,home,mother,2.0,4.0,1.0,yes,yes,yes,yes,1.0,2.0,1.0,True
97,50.0,F,U,2.0,1.0,other,other,course,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,5.0,5.0,True
100,25.0,M,U,4.0,4.0,services,services,other,mother,1.0,1.0,0.0,yes,yes,yes,yes,5.0,5.0,4.0,True
102,70.0,M,U,4.0,4.0,services,other,course,mother,1.0,1.0,0.0,no,yes,no,yes,3.0,3.0,5.0,True
103,30.0,F,U,3.0,2.0,services,other,home,mother,2.0,2.0,0.0,yes,no,yes,yes,3.0,5.0,2.0,True
105,55.0,F,U,3.0,3.0,other,health,reputation,father,1.0,4.0,0.0,yes,no,yes,yes,3.0,3.0,4.0,True
106,40.0,F,U,2.0,2.0,other,other,course,mother,1.0,4.0,0.0,yes,no,yes,yes,1.0,2.0,3.0,True
109,80.0,F,U,4.0,4.0,health,health,other,mother,1.0,3.0,0.0,no,yes,yes,yes,4.0,5.0,4.0,True
110,95.0,M,U,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,no,yes,yes,yes,5.0,3.0,4.0,True
111,50.0,F,R,3.0,3.0,services,other,reputation,father,1.0,3.0,1.0,yes,yes,yes,yes,1.0,2.0,2.0,True
113,95.0,M,U,4.0,2.0,teacher,other,course,mother,1.0,1.0,0.0,no,no,yes,yes,5.0,2.0,3.0,True
117,65.0,M,U,3.0,3.0,other,services,home,father,2.0,1.0,0.0,no,yes,yes,yes,4.0,2.0,5.0,True
119,65.0,M,U,3.0,4.0,other,other,reputation,father,1.0,1.0,0.0,no,no,yes,yes,4.0,3.0,4.0,True
121,75.0,M,U,2.0,2.0,services,services,home,father,1.0,4.0,0.0,no,yes,yes,yes,5.0,4.0,5.0,True
122,65.0,F,U,2.0,4.0,other,health,course,father,2.0,2.0,0.0,no,yes,yes,yes,2.0,2.0,5.0,True
123,65.0,M,U,4.0,4.0,health,other,course,mother,1.0,1.0,0.0,no,yes,yes,yes,4.0,4.0,5.0,True
124,40.0,F,U,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,yes,yes,4.0,4.0,5.0,True
127,45.0,F,U,0.0,1.0,at_home,other,course,other,1.0,2.0,3.0,no,no,no,no,4.0,2.0,5.0,True
133,55.0,F,U,3.0,4.0,services,other,course,father,1.0,1.0,0.0,no,no,yes,yes,2.0,1.0,5.0,True
139,75.0,F,U,4.0,4.0,teacher,teacher,course,mother,2.0,1.0,0.0,no,yes,yes,yes,3.0,2.0,5.0,True
143,65.0,F,U,1.0,1.0,at_home,at_home,course,mother,1.0,1.0,0.0,no,no,yes,yes,4.0,4.0,1.0,True
154,60.0,F,U,4.0,4.0,other,teacher,course,mother,1.0,1.0,0.0,yes,no,yes,yes,2.0,1.0,4.0,True
155,40.0,M,R,2.0,3.0,at_home,services,course,mother,1.0,2.0,0.0,yes,yes,yes,yes,4.0,4.0,1.0,True
165,60.0,M,U,3.0,2.0,services,services,course,mother,2.0,1.0,1.0,no,yes,no,no,5.0,2.0,2.0,True
167,80.0,F,U,4.0,2.0,health,services,home,father,1.0,2.0,0.0,no,no,yes,yes,2.0,3.0,3.0,True
175,45.0,M,U,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,yes,yes,yes,4.0,4.0,4.0,True
176,55.0,F,U,2.0,2.0,services,other,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,4.0,4.0,5.0,True
178,45.0,M,R,4.0,2.0,teacher,services,other,mother,1.0,1.0,0.0,no,yes,yes,yes,3.0,3.0,3.0,True
179,55.0,M,U,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,no,yes,yes,yes,2.0,3.0,2.0,True
184,60.0,F,U,3.0,2.0,other,other,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,2.0,2.0,1.0,True
187,75.0,M,U,2.0,1.0,other,other,course,mother,1.0,2.0,0.0,no,yes,yes,yes,2.0,3.0,5.0,True
188,45.0,F,U,3.0,3.0,health,other,reputation,mother,1.0,2.0,0.0,no,no,no,yes,3.0,3.0,3.0,True
190,65.0,F,U,2.0,3.0,services,services,course,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,3.0,2.0,True
191,45.0,F,U,1.0,1.0,at_home,services,course,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,3.0,3.0,True
192,40.0,M,U,1.0,2.0,at_home,services,other,other,2.0,2.0,0.0,no,yes,no,yes,4.0,4.0,5.0,True
194,70.0,M,U,2.0,3.0,other,other,home,father,2.0,1.0,0.0,no,no,yes,yes,3.0,3.0,3.0,True
197,50.0,M,R,3.0,3.0,teacher,other,home,father,3.0,1.0,0.0,no,yes,yes,yes,3.0,4.0,3.0,True
198,90.0,F,U,4.0,4.0,services,teacher,home,mother,2.0,1.0,1.0,no,no,yes,yes,2.0,4.0,2.0,True
199,50.0,F,U,4.0,4.0,teacher,teacher,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,5.0,2.0,3.0,True
203,30.0,F,R,2.0,2.0,other,other,reputation,mother,1.0,1.0,0.0,no,no,yes,yes,3.0,2.0,3.0,True
205,45.0,F,U,3.0,4.0,at_home,services,home,mother,1.0,3.0,1.0,no,no,yes,yes,4.0,3.0,5.0,True
206,35.0,F,U,3.0,1.0,services,other,course,mother,1.0,2.0,3.0,no,no,yes,yes,3.0,3.0,4.0,True
209,35.0,F,R,4.0,3.0,teacher,other,reputation,mother,2.0,3.0,0.0,no,yes,yes,yes,4.0,2.0,4.0,True
210,40.0,F,U,3.0,3.0,other,other,reputation,other,1.0,4.0,0.0,no,yes,yes,yes,3.0,3.0,3.0,True
213,40.0,M,U,2.0,2.0,services,other,home,mother,1.0,2.0,1.0,no,yes,yes,yes,4.0,4.0,5.0,True
217,40.0,M,U,3.0,3.0,services,health,home,father,1.0,2.0,1.0,no,no,yes,yes,2.0,4.0,4.0,True
218,40.0,F,U,2.0,3.0,at_home,other,home,father,2.0,1.0,0.0,no,no,yes,yes,3.0,3.0,3.0,True
225,35.0,F,R,3.0,1.0,other,other,reputation,mother,1.0,2.0,1.0,no,yes,yes,yes,3.0,3.0,4.0,True
228,45.0,M,U,2.0,1.0,at_home,other,course,mother,4.0,2.0,0.0,yes,yes,yes,yes,3.0,2.0,3.0,True
230,70.0,F,U,4.0,3.0,health,other,reputation,father,1.0,2.0,0.0,no,yes,yes,yes,2.0,3.0,3.0,True
231,55.0,M,R,2.0,2.0,other,other,course,father,2.0,2.0,0.0,no,yes,yes,yes,5.0,2.0,1.0,True
233,65.0,M,U,4.0,4.0,health,other,reputation,father,1.0,2.0,0.0,no,yes,yes,yes,2.0,4.0,1.0,True
237,60.0,F,U,2.0,1.0,other,other,home,mother,1.0,1.0,0.0,no,no,yes,yes,5.0,2.0,5.0,True
238,55.0,F,R,2.0,1.0,at_home,services,course,mother,3.0,2.0,0.0,no,yes,yes,yes,1.0,1.0,3.0,True
243,60.0,M,U,4.0,4.0,services,services,course,mother,1.0,1.0,0.0,no,yes,yes,yes,3.0,2.0,5.0,True
245,90.0,M,U,2.0,1.0,other,other,course,mother,3.0,1.0,0.0,no,no,yes,yes,3.0,3.0,4.0,True
246,65.0,M,U,2.0,3.0,other,other,course,father,2.0,1.0,0.0,no,no,yes,yes,2.0,2.0,2.0,True
247,40.0,M,U,3.0,1.0,services,services,other,mother,1.0,1.0,3.0,no,no,no,no,4.0,5.0,1.0,True
248,25.0,M,R,3.0,3.0,other,services,course,mother,1.0,2.0,1.0,no,no,yes,yes,3.0,3.0,5.0,True
251,50.0,M,U,3.0,3.0,at_home,other,reputation,other,3.0,2.0,0.0,yes,no,no,yes,3.0,3.0,2.0,True
252,40.0,M,U,2.0,1.0,services,services,other,mother,1.0,1.0,1.0,no,no,no,no,2.0,5.0,5.0,True
253,40.0,M,R,2.0,1.0,other,other,course,mother,2.0,1.0,0.0,no,yes,no,yes,3.0,2.0,3.0,True
255,40.0,M,U,1.0,1.0,health,other,course,mother,2.0,1.0,1.0,no,yes,yes,yes,4.0,4.0,5.0,True
257,55.0,M,U,4.0,3.0,services,at_home,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,1.0,1.0,True
262,60.0,M,R,3.0,2.0,other,other,course,mother,1.0,3.0,0.0,no,yes,no,yes,3.0,2.0,3.0,True
267,55.0,F,R,4.0,4.0,teacher,other,reputation,mother,2.0,2.0,0.0,no,yes,yes,yes,3.0,4.0,4.0,True
271,70.0,F,U,2.0,3.0,other,services,reputation,father,1.0,4.0,0.0,no,yes,yes,yes,5.0,5.0,2.0,True
272,55.0,F,U,1.0,1.0,other,other,home,mother,2.0,2.0,0.0,no,no,no,yes,4.0,3.0,3.0,True
273,70.0,M,R,1.0,2.0,at_home,at_home,home,mother,1.0,2.0,0.0,no,yes,no,yes,5.0,2.0,1.0,True
275,60.0,F,U,2.0,2.0,services,other,course,mother,2.0,2.0,0.0,yes,no,yes,yes,4.0,4.0,5.0,True
278,40.0,F,U,4.0,4.0,health,health,reputation,father,1.0,2.0,1.0,yes,yes,yes,yes,4.0,4.0,4.0,True
282,60.0,F,R,1.0,1.0,at_home,other,reputation,mother,2.0,4.0,0.0,no,yes,yes,yes,2.0,2.0,3.0,True
284,55.0,F,U,2.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,no,no,yes,4.0,5.0,5.0,True
285,55.0,M,U,1.0,1.0,other,other,reputation,father,1.0,2.0,0.0,no,no,no,yes,3.0,3.0,4.0,True
288,70.0,M,U,2.0,1.0,services,services,reputation,mother,1.0,3.0,0.0,no,yes,yes,yes,2.0,4.0,2.0,True
289,75.0,M,U,4.0,4.0,teacher,teacher,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,4.0,3.0,2.0,True
293,90.0,F,R,3.0,1.0,services,other,reputation,mother,2.0,4.0,0.0,no,no,yes,yes,1.0,2.0,3.0,True
295,55.0,M,U,3.0,3.0,health,other,home,mother,1.0,1.0,0.0,no,no,yes,yes,4.0,3.0,5.0,True
297,40.0,F,U,4.0,3.0,other,other,home,other,2.0,2.0,0.0,no,no,yes,yes,4.0,5.0,2.0,True
298,70.0,F,U,4.0,3.0,other,other,reputation,father,1.0,4.0,0.0,no,no,yes,yes,3.0,3.0,3.0,True
299,80.0,M,U,4.0,4.0,teacher,teacher,home,mother,1.0,1.0,0.0,no,no,yes,yes,4.0,2.0,1.0,True
301,50.0,M,U,4.0,4.0,other,teacher,home,father,2.0,1.0,0.0,no,no,yes,yes,1.0,1.0,5.0,True
302,70.0,F,U,4.0,2.0,other,other,reputation,mother,2.0,3.0,0.0,no,no,yes,yes,3.0,3.0,3.0,True
304,65.0,M,U,3.0,3.0,other,other,home,other,1.0,2.0,1.0,no,yes,yes,yes,4.0,4.0,3.0,True
305,60.0,F,U,2.0,4.0,services,at_home,reputation,other,1.0,2.0,1.0,no,yes,yes,yes,4.0,3.0,3.0,True
306,90.0,M,U,3.0,2.0,services,other,course,other,1.0,1.0,0.0,no,yes,yes,yes,5.0,3.0,5.0,True
308,60.0,M,R,3.0,3.0,other,services,reputation,father,1.0,2.0,1.0,no,yes,yes,yes,5.0,3.0,5.0,True
317,45.0,F,U,4.0,3.0,other,other,course,mother,1.0,3.0,0.0,no,yes,yes,yes,3.0,4.0,5.0,True
319,55.0,F,U,4.0,4.0,teacher,other,course,mother,1.0,2.0,0.0,no,no,yes,yes,4.0,4.0,5.0,True
323,75.0,F,U,3.0,1.0,services,services,course,father,1.0,3.0,0.0,no,no,no,yes,4.0,3.0,5.0,True
324,75.0,F,U,0.0,2.0,at_home,at_home,home,father,2.0,3.0,0.0,no,no,yes,yes,3.0,3.0,2.0,True
325,55.0,M,U,4.0,4.0,other,other,course,mother,1.0,3.0,0.0,no,yes,yes,yes,3.0,3.0,3.0,True
326,80.0,M,U,3.0,3.0,other,services,reputation,mother,1.0,1.0,0.0,no,yes,no,yes,3.0,5.0,5.0,True
327,50.0,M,R,2.0,2.0,services,other,course,mother,4.0,1.0,0.0,no,no,yes,yes,4.0,5.0,4.0,True
329,70.0,F,U,4.0,4.0,teacher,teacher,course,mother,2.0,3.0,0.0,no,no,no,yes,3.0,3.0,4.0,True
339,50.0,F,R,3.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,3.0,2.0,True
346,80.0,M,R,4.0,3.0,teacher,services,course,mother,1.0,3.0,0.0,no,no,yes,yes,3.0,2.0,4.0,True
351,65.0,M,U,3.0,3.0,health,other,course,mother,2.0,2.0,0.0,no,no,yes,yes,5.0,4.0,3.0,True
353,40.0,M,R,1.0,1.0,other,other,home,other,3.0,1.0,1.0,no,no,yes,yes,4.0,4.0,5.0,True
355,45.0,F,U,3.0,3.0,services,services,course,father,1.0,2.0,0.0,no,no,yes,yes,3.0,4.0,5.0,True
356,65.0,F,R,4.0,4.0,teacher,services,other,father,2.0,2.0,0.0,no,yes,yes,yes,3.0,3.0,5.0,True
357,55.0,F,U,3.0,2.0,services,other,reputation,mother,2.0,2.0,0.0,no,no,yes,yes,2.0,3.0,5.0,True
358,50.0,M,U,1.0,1.0,other,services,home,father,2.0,1.0,0.0,no,no,no,yes,3.0,2.0,3.0,True
360,65.0,F,R,1.0,4.0,at_home,other,course,mother,3.0,2.0,0.0,no,no,yes,yes,3.0,4.0,5.0,True
361,60.0,M,R,1.0,1.0,at_home,other,other,mother,2.0,2.0,1.0,no,yes,no,no,4.0,3.0,5.0,True
366,65.0,M,U,4.0,4.0,teacher,services,other,mother,2.0,3.0,0.0,no,no,yes,yes,2.0,2.0,5.0,True
368,50.0,F,U,2.0,3.0,at_home,services,course,father,2.0,1.0,0.0,no,no,yes,yes,2.0,3.0,4.0,True
369,55.0,F,R,4.0,4.0,other,teacher,other,father,3.0,2.0,0.0,no,no,no,yes,2.0,2.0,5.0,True
370,45.0,F,U,3.0,2.0,services,services,home,other,2.0,2.0,2.0,no,yes,yes,yes,2.0,2.0,3.0,True
371,60.0,M,R,1.0,2.0,at_home,services,other,father,3.0,1.0,0.0,no,yes,yes,no,3.0,3.0,3.0,True
375,50.0,F,R,1.0,1.0,other,other,home,mother,4.0,3.0,0.0,no,no,yes,yes,3.0,2.0,4.0,True
377,50.0,F,R,4.0,4.0,teacher,services,course,mother,1.0,2.0,0.0,no,yes,yes,yes,4.0,3.0,2.0,True
378,75.0,F,U,3.0,3.0,other,other,home,mother,1.0,2.0,0.0,no,no,yes,yes,1.0,3.0,1.0,True
379,50.0,F,R,3.0,1.0,at_home,other,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,5.0,4.0,1.0,True
380,70.0,M,U,4.0,4.0,teacher,teacher,home,father,1.0,2.0,0.0,no,yes,no,yes,2.0,4.0,2.0,True
381,35.0,M,R,2.0,1.0,other,other,other,mother,2.0,1.0,0.0,no,yes,no,yes,4.0,3.0,5.0,True
386,30.0,F,R,4.0,4.0,teacher,at_home,reputation,mother,3.0,1.0,0.0,no,yes,yes,yes,4.0,3.0,5.0,True
388,40.0,F,U,3.0,1.0,teacher,services,course,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,4.0,1.0,True
391,80.0,M,U,3.0,1.0,services,services,course,mother,2.0,1.0,0.0,no,no,no,yes,4.0,5.0,2.0,True
3,75.0,F,U,4.0,2.0,health,,home,mother,1.0,3.0,0.0,no,yes,yes,yes,2.0,2.0,5.0,False
6,55.0,M,,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,yes,yes,4.0,4.0,3.0,False
17,50.0,F,U,3.0,3.0,other,,reputation,mother,3.0,,0.0,yes,yes,yes,yes,3.0,2.0,4.0,False
21,75.0,M,U,4.0,,health,health,other,father,1.0,1.0,,no,no,yes,yes,4.0,2.0,5.0,False
22,80.0,M,U,4.0,2.0,teacher,,course,mother,1.0,2.0,0.0,no,yes,,yes,5.0,1.0,5.0,False
24,40.0,F,R,2.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,yes,yes,3.0,2.0,5.0,False
26,55.0,M,U,2.0,2.0,other,,home,mother,,1.0,0.0,no,no,yes,yes,2.0,2.0,5.0,False
27,75.0,M,U,4.0,2.0,health,services,other,mother,1.0,1.0,0.0,,no,yes,yes,2.0,4.0,1.0,False
29,55.0,M,U,4.0,4.0,,teacher,home,mother,1.0,2.0,0.0,no,yes,yes,yes,4.0,5.0,5.0,False
30,60.0,M,U,4.0,4.0,health,services,home,mother,,2.0,0.0,no,no,no,yes,4.0,2.0,,False
31,85.0,M,U,4.0,4.0,services,,reputation,mother,2.0,2.0,0.0,no,yes,yes,yes,3.0,1.0,5.0,False
32,80.0,M,R,4.0,3.0,teacher,at_home,course,mother,1.0,2.0,0.0,no,yes,,yes,,2.0,5.0,False
33,60.0,M,U,3.0,3.0,other,other,,mother,1.0,2.0,0.0,no,yes,no,yes,3.0,2.0,2.0,False
34,75.0,M,U,3.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,no,no,,4.0,3.0,5.0,False
35,30.0,F,U,2.0,3.0,other,other,other,father,,1.0,0.0,,yes,yes,yes,5.0,1.0,5.0,False
37,75.0,M,R,4.0,4.0,other,teacher,reputation,mother,,3.0,0.0,no,yes,yes,yes,4.0,3.0,5.0,False
38,55.0,F,R,3.0,4.0,services,health,course,,1.0,3.0,0.0,yes,yes,yes,yes,3.0,2.0,5.0,False
41,60.0,M,U,4.0,4.0,teacher,other,home,,1.0,1.0,0.0,no,no,no,yes,4.0,3.0,5.0,False
42,90.0,M,U,4.0,,services,teacher,course,father,1.0,2.0,0.0,no,yes,yes,yes,3.0,3.0,5.0,False
43,55.0,M,U,2.0,2.0,services,services,course,father,1.0,1.0,0.0,yes,,yes,yes,4.0,1.0,1.0,False
44,45.0,F,U,2.0,2.0,other,,course,father,2.0,2.0,1.0,yes,,yes,yes,3.0,3.0,5.0,False
46,55.0,F,U,3.0,,other,services,home,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,5.0,3.0,False
47,100.0,M,U,4.0,3.0,health,,reputation,mother,1.0,4.0,0.0,no,yes,yes,yes,2.0,2.0,2.0,False
48,70.0,M,U,4.0,2.0,teacher,other,home,mother,1.0,2.0,,no,no,yes,,3.0,3.0,5.0,False
49,35.0,F,U,4.0,4.0,services,teacher,other,,1.0,2.0,1.0,yes,yes,no,yes,4.0,4.0,3.0,False
52,50.0,M,,4.0,2.0,health,,other,father,2.0,1.0,1.0,no,no,yes,yes,5.0,5.0,5.0,False
53,55.0,F,U,4.0,4.0,services,services,course,,1.0,1.0,0.0,yes,no,yes,yes,3.0,4.0,5.0,False
