,score,sex,address,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,activities,nursery,higher,freetime,goout,health,err_free
54,65.0,F,U,3.0,3.0,,other,other,mother,1.0,1.0,,no,,yes,yes,3.0,4.0,1.0,False
55,50.0,F,U,2.0,1.0,other,other,other,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,4.0,,False
57,75.0,M,U,4.0,,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,2.0,2.0,5.0,False
58,45.0,M,U,1.0,,other,at_home,home,father,1.0,2.0,0.0,yes,yes,yes,yes,3.0,2.0,5.0,False
59,80.0,F,U,4.0,2.0,,,course,mother,,2.0,0.0,no,no,yes,yes,2.0,3.0,5.0,False
60,55.0,F,R,4.0,4.0,health,teacher,other,,1.0,2.0,0.0,no,yes,yes,yes,4.0,4.0,4.0,False
63,45.0,F,U,4.0,3.0,teacher,health,,mother,1.0,3.0,0.0,yes,yes,yes,yes,4.0,4.0,4.0,False
67,30.0,F,U,3.0,,services,other,course,mother,1.0,4.0,0.0,yes,no,yes,yes,3.0,3.0,5.0,False
68,40.0,F,R,2.0,2.0,health,,reputation,mother,,2.0,,yes,no,yes,yes,1.0,3.0,4.0,False
70,75.0,M,U,3.0,1.0,other,other,reputation,father,,4.0,0.0,no,no,yes,yes,3.0,2.0,5.0,False
73,70.0,M,U,3.0,1.0,other,other,,mother,1.0,1.0,0.0,no,yes,yes,yes,3.0,2.0,5.0,False
74,55.0,F,U,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,yes,yes,yes,yes,,3.0,5.0,False
75,50.0,M,,4.0,3.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,3.0,5.0,False
76,50.0,M,U,4.0,0.0,teacher,other,course,mother,2.0,4.0,0.0,no,yes,yes,,4.0,3.0,1.0,False
77,55.0,F,U,2.0,2.0,other,other,,mother,1.0,4.0,0.0,no,no,yes,yes,2.0,3.0,3.0,False
79,25.0,F,U,3.0,4.0,at_home,other,course,mother,1.0,2.0,0.0,,no,yes,yes,4.0,3.0,3.0,False
81,55.0,M,U,2.0,3.0,other,other,home,,1.0,3.0,0.0,yes,,no,yes,3.0,2.0,5.0,False
84,50.0,F,U,1.0,1.0,other,other,home,father,1.0,2.0,0.0,no,yes,no,,3.0,2.0,4.0,False
85,40.0,F,U,4.0,4.0,services,services,reputation,father,2.0,2.0,2.0,no,no,,yes,4.0,4.0,5.0,False
88,50.0,M,U,2.0,2.0,,other,reputation,father,2.0,2.0,1.0,no,yes,,yes,4.0,2.0,,False
89,35.0,M,U,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,1.0,,5.0,False
90,40.0,F,U,3.0,3.0,other,other,home,,1.0,3.0,0.0,no,no,yes,yes,3.0,3.0,4.0,False
91,90.0,F,U,4.0,3.0,services,other,reputation,mother,1.0,,,no,yes,yes,yes,5.0,5.0,1.0,False
92,30.0,F,,,1.0,other,other,home,father,1.0,2.0,0.0,yes,no,yes,yes,3.0,,2.0,False
96,75.0,M,,4.0,3.0,services,other,reputation,mother,2.0,1.0,0.0,yes,yes,no,,3.0,3.0,4.0,False
98,70.0,F,U,4.0,4.0,other,other,reputation,,1.0,1.0,0.0,no,yes,no,yes,3.0,4.0,1.0,False
99,40.0,F,U,4.0,3.0,other,at_home,course,mother,1.0,3.0,0.0,yes,,yes,yes,3.0,5.0,3.0,False
101,85.0,M,U,4.0,4.0,services,teacher,other,father,1.0,3.0,0.0,no,yes,yes,yes,4.0,3.0,4.0,False
104,90.0,M,U,3.0,4.0,,other,course,mother,,2.0,0.0,no,yes,yes,yes,4.0,4.0,1.0,False
107,90.0,M,U,3.0,3.0,services,,home,father,1.0,3.0,,no,yes,yes,yes,3.0,3.0,5.0,False
108,65.0,M,R,4.0,4.0,other,other,home,father,4.0,4.0,,no,yes,yes,yes,3.0,5.0,1.0,False
112,65.0,F,U,2.0,2.0,at_home,other,,mother,,,1.0,yes,yes,yes,yes,1.0,2.0,5.0,False
114,45.0,M,R,2.0,1.0,health,services,reputation,mother,1.0,2.0,,no,yes,yes,yes,4.0,2.0,5.0,False
115,80.0,M,U,4.0,4.0,teacher,teacher,course,father,1.0,2.0,,no,yes,yes,yes,4.0,4.0,5.0,False
116,70.0,M,U,4.0,4.0,other,teacher,reputation,father,2.0,2.0,0.0,no,,yes,yes,4.0,3.0,2.0,False
118,40.0,M,R,1.0,3.0,other,,course,father,3.0,2.0,1.0,no,yes,yes,yes,2.0,4.0,5.0,False
120,75.0,F,U,1.0,2.0,at_home,,course,mother,1.0,2.0,0.0,no,no,no,yes,2.0,3.0,1.0,False
125,60.0,M,U,3.0,4.0,services,services,home,father,1.0,1.0,,yes,no,yes,yes,5.0,5.0,5.0,False
126,55.0,F,U,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,yes,,yes,yes,3.0,2.0,1.0,False
128,0.0,M,R,2.0,2.0,,other,reputation,mother,1.0,1.0,2.0,no,yes,yes,yes,3.0,3.0,4.0,False
129,90.0,M,R,4.0,4.0,teacher,teacher,course,mother,1.0,,0.0,no,yes,yes,yes,5.0,5.0,4.0,False
130,0.0,F,R,3.0,4.0,services,teacher,course,father,2.0,3.0,2.0,no,no,yes,yes,2.0,2.0,5.0,False
131,0.0,F,U,1.0,1.0,at_home,other,course,mother,3.0,1.0,0.0,no,yes,no,yes,,3.0,4.0,False
132,60.0,F,U,2.0,2.0,other,other,course,father,,1.0,0.0,no,no,yes,yes,4.0,4.0,5.0,False
134,0.0,M,R,3.0,4.0,at_home,teacher,course,mother,,2.0,0.0,no,no,yes,yes,3.0,3.0,5.0,False
135,0.0,F,U,4.0,4.0,services,,course,mother,1.0,3.0,0.0,no,yes,yes,yes,3.0,3.0,5.0,False
136,0.0,M,R,3.0,4.0,at_home,other,course,mother,3.0,2.0,0.0,no,no,yes,yes,4.0,5.0,5.0,False
137,0.0,F,U,3.0,,other,other,,other,,1.0,2.0,no,yes,no,yes,3.0,2.0,5.0,False
138,60.0,M,U,1.0,1.0,services,other,,,1.0,2.0,1.0,no,no,yes,yes,4.0,4.0,5.0,False
140,0.0,M,U,4.0,3.0,teacher,services,,father,2.0,4.0,0.0,yes,,yes,yes,2.0,2.0,3.0,False
141,45.0,M,U,2.0,2.0,services,services,reputation,father,2.0,1.0,2.0,no,,yes,yes,3.0,3.0,2.0,False
142,55.0,F,U,4.0,,teacher,services,course,mother,,3.0,0.0,no,yes,yes,,2.0,2.0,5.0,False
144,0.0,M,U,2.0,1.0,other,other,home,,1.0,1.0,3.0,no,no,yes,yes,4.0,5.0,5.0,False
145,55.0,F,U,1.0,1.0,,services,course,father,1.0,2.0,0.0,no,no,yes,yes,4.0,2.0,,False
146,0.0,F,U,3.0,2.0,health,services,home,father,1.0,2.0,3.0,no,no,yes,yes,3.0,2.0,3.0,False
147,55.0,F,U,1.0,2.0,at_home,other,course,mother,,2.0,0.0,no,no,no,yes,3.0,2.0,5.0,False
148,0.0,M,U,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,no,no,yes,no,3.0,2.0,5.0,False
149,50.0,M,U,2.0,1.0,services,other,course,mother,4.0,1.0,3.0,no,no,yes,,5.0,5.0,5.0,False
150,0.0,M,U,1.0,1.0,other,other,course,mother,1.0,1.0,3.0,no,no,yes,no,3.0,5.0,4.0,False
151,70.0,M,U,2.0,1.0,at_home,,course,mother,1.0,1.0,1.0,,yes,yes,yes,4.0,4.0,5.0,False
152,50.0,F,R,3.0,3.0,services,,reputation,other,2.0,3.0,2.0,no,yes,,yes,2.0,1.0,3.0,False
153,0.0,M,U,3.0,2.0,services,at_home,home,mother,1.0,1.0,,no,no,yes,no,5.0,4.0,,False
156,65.0,M,R,1.0,2.0,,other,reputation,mother,1.0,1.0,0.0,no,no,yes,yes,2.0,2.0,5.0,False
157,50.0,F,R,1.0,1.0,at_home,other,course,mother,,1.0,3.0,no,yes,no,yes,2.0,5.0,4.0,False
158,75.0,M,R,2.0,2.0,at_home,other,course,mother,3.0,1.0,,no,no,no,,2.0,2.0,3.0,False
159,60.0,M,,3.0,,other,services,course,father,1.0,2.0,1.0,no,no,yes,yes,5.0,5.0,5.0,False
160,0.0,M,R,2.0,1.0,at_home,,course,mother,,1.0,2.0,no,,yes,no,3.0,2.0,5.0,False
161,35.0,M,R,3.0,,other,,course,mother,2.0,2.0,2.0,yes,no,yes,yes,4.0,4.0,3.0,False
162,0.0,M,U,1.0,2.0,other,other,course,mother,2.0,1.0,1.0,no,yes,yes,yes,4.0,4.0,5.0,False
163,50.0,M,U,1.0,3.0,at_home,services,course,father,1.0,1.0,0.0,no,,yes,no,3.0,3.0,2.0,False
164,35.0,M,R,1.0,1.0,other,services,course,,4.0,2.0,3.0,no,yes,yes,no,3.0,5.0,,False
166,50.0,M,U,2.0,2.0,,other,course,father,1.0,2.0,0.0,no,no,yes,no,3.0,5.0,4.0,False
168,0.0,F,,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,no,yes,1.0,5.0,4.0,False
169,70.0,F,U,4.0,4.0,health,,reputation,mother,1.0,2.0,0.0,no,no,yes,yes,4.0,2.0,3.0,False
170,0.0,M,U,3.0,4.0,other,other,course,father,3.0,1.0,,no,yes,no,,4.0,5.0,2.0,False
171,80.0,M,U,1.0,0.0,other,other,reputation,mother,2.0,2.0,,no,yes,yes,,3.0,2.0,3.0,False
172,50.0,M,U,4.0,4.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,4.0,4.0,5.0,False
173,0.0,F,U,1.0,3.0,at_home,services,home,,1.0,2.0,3.0,no,yes,no,yes,3.0,5.0,3.0,False
174,45.0,F,U,3.0,3.0,,other,reputation,mother,2.0,2.0,0.0,no,yes,yes,yes,4.0,5.0,4.0,False
177,30.0,M,U,3.0,3.0,,other,reputation,father,1.0,2.0,0.0,no,yes,no,yes,3.0,4.0,4.0,False
180,40.0,M,U,4.0,,teacher,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,4.0,3.0,3.0,False
181,60.0,M,U,3.0,3.0,services,other,home,,1.0,2.0,0.0,no,yes,yes,,2.0,3.0,3.0,False
182,85.0,F,U,2.0,4.0,services,,reputation,father,,2.0,0.0,no,yes,yes,yes,4.0,2.0,5.0,False
183,40.0,F,U,3.0,3.0,other,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,3.0,1.0,False
185,55.0,M,U,3.0,3.0,services,services,,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,4.0,4.0,False
186,55.0,M,U,1.0,2.0,services,services,,mother,1.0,1.0,0.0,no,yes,yes,yes,3.0,3.0,3.0,False
189,50.0,M,R,1.0,2.0,at_home,other,home,mother,1.0,2.0,0.0,no,no,yes,yes,1.0,3.0,,False
193,50.0,M,R,,3.0,services,services,reputation,mother,1.0,1.0,0.0,no,yes,yes,yes,3.0,2.0,5.0,False
195,75.0,F,U,2.0,,services,services,course,father,1.0,2.0,0.0,no,yes,yes,yes,3.0,2.0,5.0,False
196,80.0,M,U,4.0,4.0,services,teacher,,mother,1.0,1.0,0.0,no,no,yes,yes,2.0,3.0,5.0,False
200,80.0,F,U,4.0,3.0,health,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,,2.0,False
202,50.0,F,U,1.0,1.0,other,other,course,mother,1.0,2.0,0.0,no,no,no,yes,4.0,,1.0,False
204,55.0,F,R,2.0,2.0,services,services,reputation,mother,2.0,4.0,,no,yes,no,yes,3.0,5.0,5.0,False
207,65.0,F,U,4.0,3.0,teacher,other,other,mother,1.0,2.0,0.0,no,,yes,yes,3.0,2.0,1.0,False
208,50.0,F,U,1.0,1.0,at_home,other,home,mother,2.0,1.0,0.0,no,no,yes,yes,3.0,2.0,,False
211,65.0,M,U,4.0,4.0,services,other,home,mother,1.0,2.0,0.0,,no,yes,yes,3.0,5.0,3.0,False
212,70.0,F,U,2.0,2.0,other,other,reputation,mother,1.0,2.0,0.0,yes,,,yes,3.0,4.0,4.0,False
214,50.0,F,R,4.0,4.0,services,other,other,mother,1.0,1.0,,no,no,yes,yes,2.0,1.0,3.0,False
215,75.0,F,U,3.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,no,yes,yes,4.0,4.0,1.0,False
216,20.0,F,U,4.0,3.0,other,,reputation,mother,1.0,2.0,2.0,no,no,yes,yes,4.0,5.0,1.0,False
219,50.0,F,U,2.0,2.0,,at_home,course,mother,1.0,3.0,0.0,no,yes,yes,yes,3.0,3.0,4.0,False
220,30.0,F,R,2.0,1.0,at_home,services,reputation,mother,2.0,2.0,0.0,no,yes,yes,yes,2.0,5.0,,False
221,0.0,F,U,1.0,1.0,at_home,other,reputation,mother,1.0,3.0,1.0,no,yes,yes,yes,3.0,,5.0,False
222,85.0,F,U,2.0,3.0,services,teacher,other,mother,1.0,2.0,0.0,yes,no,yes,yes,3.0,1.0,3.0,False
223,65.0,M,U,2.0,2.0,other,other,home,,2.0,2.0,0.0,no,no,yes,yes,3.0,3.0,4.0,False
224,70.0,F,U,4.0,4.0,,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,3.0,2.0,5.0,False
226,75.0,F,U,3.0,2.0,other,other,course,mother,,2.0,0.0,no,yes,no,yes,3.0,4.0,3.0,False
227,60.0,M,U,2.0,3.0,services,services,reputation,father,1.0,,0.0,no,no,no,,3.0,3.0,3.0,False
229,60.0,F,U,2.0,1.0,other,,course,mother,2.0,3.0,0.0,no,yes,yes,yes,2.0,3.0,3.0,False
232,45.0,M,U,4.0,,teacher,teacher,reputation,mother,1.0,2.0,0.0,yes,yes,yes,yes,5.0,5.0,2.0,False
234,30.0,M,U,1.0,1.0,other,other,home,mother,,2.0,0.0,no,no,yes,yes,4.0,2.0,5.0,False
235,50.0,M,U,3.0,2.0,at_home,other,reputation,,2.0,3.0,0.0,no,yes,yes,yes,3.0,3.0,2.0,False
236,65.0,M,U,2.0,,other,other,home,father,1.0,2.0,,no,yes,no,yes,4.0,2.0,,False
239,0.0,M,U,,2.0,other,services,reputation,father,1.0,2.0,1.0,no,no,yes,no,5.0,4.0,2.0,False
240,60.0,M,U,4.0,3.0,health,other,course,,2.0,2.0,0.0,no,yes,yes,yes,5.0,5.0,5.0,False
241,60.0,M,,4.0,4.0,teacher,other,course,mother,,2.0,0.0,no,no,yes,yes,3.0,,4.0,False
242,0.0,M,U,4.0,3.0,teacher,other,course,mother,1.0,1.0,0.0,no,yes,no,yes,4.0,5.0,3.0,False
249,75.0,M,U,0.0,2.0,other,other,other,mother,1.0,1.0,0.0,no,no,,yes,3.0,2.0,5.0,False
250,40.0,M,U,3.0,2.0,services,,course,mother,2.0,1.0,1.0,no,no,yes,,4.0,5.0,5.0,False
254,60.0,M,,2.0,1.0,other,other,course,mother,1.0,1.0,0.0,no,no,no,yes,4.0,2.0,5.0,False
256,65.0,F,U,4.0,2.0,teacher,services,reputation,mother,1.0,4.0,0.0,no,yes,yes,yes,2.0,3.0,,False
258,70.0,M,U,2.0,1.0,other,other,home,,1.0,2.0,0.0,no,yes,yes,yes,2.0,4.0,4.0,False
259,0.0,F,U,2.0,,services,services,course,father,1.0,4.0,0.0,no,yes,yes,yes,4.0,1.0,,False
260,90.0,F,U,4.0,3.0,,other,home,father,1.0,2.0,0.0,no,no,yes,yes,1.0,2.0,2.0,False
261,40.0,M,U,4.0,3.0,teacher,other,course,mother,,2.0,,no,no,no,yes,3.0,2.0,3.0,False
263,45.0,F,U,3.0,3.0,other,other,,mother,1.0,3.0,0.0,no,yes,no,yes,2.0,3.0,4.0,False
264,0.0,F,U,2.0,2.0,at_home,services,home,mother,1.0,3.0,0.0,no,yes,yes,yes,3.0,3.0,3.0,False
265,85.0,M,R,3.0,4.0,,other,reputation,mother,2.0,2.0,0.0,no,yes,yes,yes,2.0,5.0,1.0,False
266,50.0,M,U,3.0,1.0,services,,other,mother,1.0,,0.0,no,yes,yes,yes,4.0,4.0,,False
268,50.0,M,U,4.0,2.0,,other,reputation,father,,2.0,0.0,no,yes,yes,yes,4.0,5.0,5.0,False
269,0.0,F,R,2.0,1.0,other,other,reputation,mother,2.0,2.0,0.0,no,no,yes,no,3.0,5.0,3.0,False
274,50.0,F,U,2.0,4.0,at_home,health,reputation,mother,2.0,2.0,0.0,,no,yes,yes,3.0,3.0,1.0,False
276,45.0,F,R,3.0,2.0,other,services,home,mother,2.0,2.0,0.0,no,no,no,no,1.0,1.0,5.0,False
277,45.0,M,U,4.0,4.0,,services,home,mother,2.0,1.0,0.0,no,yes,yes,yes,2.0,4.0,3.0,False
279,50.0,M,U,4.0,3.0,teacher,services,course,,2.0,1.0,0.0,no,yes,yes,yes,2.0,3.0,1.0,False
280,40.0,M,U,4.0,,services,other,home,mother,2.0,1.0,,no,yes,yes,yes,,4.0,5.0,False
281,50.0,M,U,3.0,,teacher,services,home,mother,1.0,1.0,1.0,no,no,yes,,4.0,4.0,3.0,False
286,95.0,F,U,2.0,,at_home,at_home,other,mother,1.0,3.0,0.0,no,no,yes,yes,3.0,3.0,2.0,False
287,60.0,F,U,1.0,,services,teacher,reputation,mother,1.0,3.0,0.0,no,no,yes,yes,3.0,3.0,3.0,False
290,55.0,M,U,4.0,,teacher,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,,2.0,5.0,False
291,75.0,F,U,4.0,3.0,,services,reputation,,1.0,3.0,0.0,no,no,yes,yes,,2.0,3.0,False
292,65.0,F,,2.0,1.0,services,at_home,reputation,mother,1.0,2.0,1.0,no,no,yes,yes,4.0,3.0,5.0,False
294,70.0,M,R,3.0,2.0,services,,reputation,mother,2.0,3.0,0.0,no,yes,yes,yes,4.0,2.0,4.0,False
296,0.0,F,U,4.0,4.0,health,other,reputation,other,2.0,2.0,0.0,no,yes,yes,yes,3.0,4.0,2.0,False
300,55.0,F,U,4.0,4.0,health,other,home,mother,1.0,2.0,0.0,no,no,,yes,2.0,4.0,4.0,False
303,90.0,F,U,3.0,2.0,health,,reputation,father,1.0,4.0,0.0,no,yes,no,yes,2.0,2.0,5.0,False
307,40.0,M,U,4.0,4.0,teacher,services,reputation,other,2.0,1.0,1.0,no,no,yes,yes,3.0,4.0,4.0,False
309,50.0,F,U,1.0,1.0,at_home,,reputation,other,1.0,2.0,1.0,yes,yes,no,yes,4.0,3.0,3.0,False
310,0.0,F,U,1.0,,services,services,home,other,,2.0,1.0,no,yes,no,yes,2.0,4.0,3.0,False
311,65.0,F,U,2.0,1.0,at_home,other,other,other,3.0,2.0,0.0,no,no,yes,no,,1.0,2.0,False
313,55.0,F,U,3.0,2.0,services,other,reputation,other,2.0,2.0,,no,no,no,yes,2.0,2.0,1.0,False
314,65.0,F,U,1.0,1.0,at_home,health,home,other,1.0,,2.0,no,no,no,yes,,2.0,3.0,False
315,55.0,F,R,2.0,3.0,other,other,reputation,other,1.0,3.0,1.0,no,no,yes,yes,1.0,2.0,3.0,False
316,0.0,F,U,2.0,1.0,services,,course,mother,2.0,2.0,0.0,no,yes,yes,yes,3.0,3.0,1.0,False
318,50.0,F,R,3.0,4.0,at_home,services,course,,1.0,3.0,0.0,no,yes,no,yes,3.0,4.0,5.0,False
320,65.0,F,U,4.0,3.0,services,services,course,mother,1.0,2.0,,no,no,yes,,2.0,2.0,5.0,False
321,45.0,F,U,2.0,2.0,other,other,course,mother,1.0,2.0,0.0,,no,yes,yes,2.0,2.0,3.0,False
322,55.0,F,R,2.0,2.0,services,services,course,mother,1.0,3.0,0.0,no,yes,yes,yes,3.0,,3.0,False
328,45.0,F,U,4.0,,teacher,services,course,mother,1.0,3.0,0.0,no,yes,yes,yes,4.0,4.0,4.0,False
330,40.0,M,U,2.0,2.0,other,other,course,mother,1.0,4.0,0.0,no,yes,yes,yes,5.0,5.0,,False
331,70.0,F,R,2.0,4.0,at_home,other,course,,1.0,3.0,0.0,no,no,yes,,4.0,3.0,5.0,False
332,0.0,F,U,3.0,3.0,services,services,home,mother,1.0,2.0,0.0,no,yes,,yes,3.0,4.0,4.0,False
333,0.0,F,U,2.0,2.0,other,other,home,other,1.0,2.0,0.0,no,yes,no,yes,3.0,3.0,2.0,False
334,0.0,F,R,2.0,2.0,at_home,other,course,mother,2.0,4.0,0.0,no,yes,yes,yes,4.0,4.0,4.0,False
335,75.0,F,U,3.0,4.0,services,other,,mother,1.0,3.0,0.0,no,no,yes,yes,4.0,5.0,5.0,False
336,65.0,F,R,3.0,1.0,services,,home,other,1.0,3.0,1.0,no,no,,yes,4.0,3.0,5.0,False
337,0.0,F,U,3.0,2.0,,other,home,mother,1.0,2.0,0.0,no,no,yes,yes,3.0,2.0,2.0,False
338,85.0,F,U,3.0,3.0,services,services,home,mother,1.0,4.0,0.0,no,no,yes,yes,,3.0,1.0,False
340,55.0,F,U,2.0,1.0,services,services,home,other,1.0,3.0,1.0,no,yes,,yes,3.0,4.0,3.0,False
341,0.0,M,U,4.0,4.0,teacher,,home,father,1.0,2.0,1.0,no,yes,,yes,3.0,3.0,2.0,False
342,75.0,M,U,3.0,4.0,services,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,3.0,,False
343,0.0,F,U,2.0,2.0,at_home,at_home,home,father,1.0,2.0,1.0,no,no,yes,yes,3.0,1.0,4.0,False
344,50.0,F,U,2.0,3.0,at_home,other,course,,1.0,3.0,,no,no,yes,yes,3.0,3.0,3.0,False
345,70.0,F,U,3.0,2.0,other,,other,mother,1.0,3.0,0.0,no,no,yes,yes,4.0,3.0,1.0,False
347,45.0,M,U,4.0,3.0,teacher,other,course,,1.0,3.0,0.0,no,no,yes,,4.0,5.0,5.0,False
348,75.0,F,,4.0,3.0,health,other,reputation,mother,,3.0,0.0,no,yes,yes,yes,4.0,3.0,4.0,False
349,65.0,M,R,3.0,,other,other,course,,2.0,1.0,1.0,no,no,no,yes,5.0,5.0,5.0,False
352,40.0,M,U,1.0,3.0,at_home,services,course,mother,1.0,1.0,1.0,no,no,yes,no,3.0,3.0,3.0,False
354,55.0,M,,4.0,3.0,services,other,home,mother,2.0,2.0,0.0,no,yes,no,yes,5.0,5.0,2.0,False
359,80.0,F,,1.0,1.0,at_home,services,course,father,2.0,3.0,0.0,no,no,,yes,3.0,2.0,4.0,False
362,50.0,F,U,3.0,3.0,services,services,other,,2.0,2.0,0.0,no,no,yes,,3.0,2.0,3.0,False
363,75.0,F,U,4.0,4.0,at_home,,,mother,1.0,2.0,0.0,no,yes,yes,yes,3.0,4.0,1.0,False
364,60.0,F,R,1.0,2.0,other,services,course,,2.0,2.0,0.0,no,no,no,yes,2.0,2.0,3.0,False
365,50.0,M,R,1.0,3.0,at_home,,course,,2.0,2.0,0.0,no,no,,yes,3.0,4.0,3.0,False
367,0.0,F,R,1.0,1.0,other,services,reputation,mother,3.0,1.0,1.0,no,no,yes,yes,2.0,1.0,1.0,False
372,55.0,F,,2.0,2.0,other,at_home,home,mother,,3.0,0.0,no,yes,yes,yes,4.0,3.0,3.0,False
373,25.0,F,R,1.0,2.0,other,,,mother,1.0,1.0,0.0,no,yes,yes,yes,5.0,5.0,1.0,False
374,95.0,F,R,4.0,,other,,reputation,mother,2.0,3.0,0.0,no,no,yes,yes,4.0,4.0,1.0,False
376,75.0,F,,4.0,2.0,health,other,course,,2.0,3.0,2.0,no,no,no,yes,4.0,3.0,3.0,False
382,50.0,M,U,2.0,3.0,other,services,,father,2.0,2.0,0.0,no,yes,yes,,4.0,3.0,3.0,False
383,0.0,M,R,1.0,1.0,other,services,other,mother,2.0,1.0,1.0,no,no,,yes,3.0,2.0,5.0,False
384,25.0,M,R,4.0,2.0,other,,home,father,,1.0,1.0,no,no,yes,yes,4.0,3.0,3.0,False
385,50.0,F,R,2.0,2.0,at_home,other,other,,,3.0,0.0,no,no,yes,yes,3.0,3.0,4.0,False
387,0.0,F,R,2.0,3.0,services,other,course,mother,1.0,3.0,1.0,no,yes,no,yes,4.0,2.0,5.0,False
389,0.0,F,U,1.0,1.0,other,other,course,mother,,2.0,1.0,no,yes,yes,yes,1.0,1.0,5.0,False
390,45.0,M,U,2.0,2.0,services,services,course,,1.0,2.0,2.0,no,no,yes,yes,5.0,4.0,4.0,False
392,35.0,M,R,1.0,1.0,other,other,course,,1.0,1.0,3.0,,no,no,,5.0,3.0,3.0,False
393,50.0,M,R,3.0,2.0,services,other,course,mother,3.0,1.0,0.0,no,,no,yes,4.0,1.0,5.0,False
394,45.0,M,U,1.0,1.0,other,at_home,,father,1.0,1.0,0.0,,no,yes,yes,2.0,3.0,5.0,False
